20130513060511,30.3,38.9,43.2,42.3,21.9,30.6,21.1,8.6
20130513061011,30.8,37.3,42.9,40.5,22.1,30.3,21.1,8.6
20130513061511,30.8,36.4,42.4,39.4,22.2,29.8,21.1,8.6
20130513062011,30.4,35.6,41.9,38.4,22.3,29.3,21.1,8.6
20130513062511,30.2,35.1,41.5,37.8,22.4,28.8,21.1,8.6
20130513063011,30.4,34.6,41.1,37.2,22.6,28.1,21.1,8.9
20130513063511,31.0,34.6,40.9,45.3,22.9,27.3,21.1,8.9
20130513064011,31.3,41.8,42.9,47.8,23.4,27.1,21.1,8.9
20130513064511,31.0,40.2,43.5,43.7,24.3,28.1,21.1,8.9
20130513065011,30.7,38.2,43.5,41.4,25.3,27.7,21.2,8.9
20130513065511,30.4,36.9,43.2,39.9,26.3,27.3,21.1,8.9
20130513070011,30.1,36.1,42.8,38.9,27.0,26.6,21.1,9.2
20130513070511,29.8,35.1,42.6,38.6,27.6,26.2,21.1,9.3
20130513071011,29.5,34.1,42.5,38.4,27.9,25.6,21.1,9.3
20130513071511,29.2,33.3,42.4,38.2,28.4,25.2,21.1,9.3
20130513072011,29.0,32.6,42.2,37.5,28.5,24.8,21.1,9.3
20130513072511,28.8,31.9,42.1,36.8,28.4,24.1,21.1,9.3
20130513073011,28.6,31.0,42.0,36.2,28.4,23.7,21.1,9.7
20130513073511,28.4,30.2,41.8,35.7,28.4,23.5,21.1,9.7
20130513074011,28.3,29.4,41.6,35.1,28.3,23.3,21.1,9.7
20130513074511,28.1,28.8,41.5,34.4,28.1,23.1,21.1,9.7
20130513075011,27.9,28.3,41.4,34.0,27.8,23.2,21.1,9.7
20130513075511,27.8,27.9,41.3,33.6,27.6,23.0,21.1,9.7
20130513080011,27.6,27.4,41.2,33.1,27.4,22.9,21.0,9.9
20130513080511,27.4,26.9,41.1,32.7,27.1,22.8,21.0,10.0
20130513081011,27.1,26.4,40.9,32.2,26.9,22.6,21.0,10.0
20130513081511,26.9,25.9,40.8,31.6,0.0,22.7,21.0,10.0
20130513082011,26.8,25.7,40.7,31.1,26.5,22.6,21.0,10.0
20130513082511,26.6,25.5,40.5,30.6,26.1,22.4,21.0,10.0
20130513083011,26.4,25.4,40.4,30.1,25.8,22.4,21.0,10.3
20130513083511,26.0,25.2,40.2,29.9,25.6,22.3,21.0,10.3
20130513084011,25.9,25.1,40.1,29.5,25.3,22.3,21.0,10.3
20130513084511,26.1,24.9,39.8,29.5,25.1,22.2,21.0,10.3
20130513085011,26.3,25.0,39.6,29.6,24.8,22.1,21.0,10.3
20130513085511,26.5,25.1,39.5,29.9,24.6,22.1,21.0,10.3
20130513090011,26.6,25.2,39.3,30.1,24.3,22.1,21.0,10.5
20130513090511,26.6,25.3,39.1,30.1,24.1,22.1,21.0,10.6
20130513091011,26.7,25.4,38.9,30.1,23.9,22.0,-1.3,10.6
20130513091511,26.7,25.4,38.8,30.1,23.7,22.1,21.0,10.6
20130513092011,26.8,25.4,38.6,30.0,23.4,22.1,21.0,10.6
20130513092511,26.7,25.4,38.4,29.9,23.3,22.1,21.0,10.6
20130513093011,26.6,25.3,38.3,29.8,23.1,22.1,21.0,10.8
20130513093511,26.6,25.3,38.1,29.6,22.9,22.1,21.0,10.8
20130513094011,26.6,25.2,37.9,29.5,22.8,22.0,20.9,10.8
20130513094511,26.6,25.2,37.8,29.4,22.6,21.9,21.0,10.8
20130513095011,26.5,25.1,37.6,29.3,22.5,21.8,21.0,10.8
20130513095511,26.5,25.0,37.5,29.1,22.3,21.8,21.0,10.8
20130513100011,26.5,24.9,37.4,29.0,22.3,21.6,21.0,10.9
20130513100511,26.5,24.8,37.2,28.8,22.1,21.5,20.9,11.0
20130513101011,26.5,24.6,37.1,28.7,22.0,21.4,21.0,11.0
20130513101511,26.6,24.6,36.9,28.6,21.9,21.4,21.0,11.0
20130513102011,26.6,24.4,36.8,28.5,21.9,21.4,21.0,11.0
20130513102511,26.6,24.4,36.6,28.3,21.8,21.4,21.0,11.0
20130513103011,26.6,24.3,36.4,28.2,21.7,21.4,21.0,11.5
20130513103511,26.7,24.3,36.3,28.1,21.6,21.4,21.1,11.5
20130513104011,26.7,24.2,36.1,27.9,21.6,21.4,21.1,11.5
20130513104511,26.8,24.2,36.0,27.8,21.5,21.4,21.1,11.5
20130513105011,26.8,24.2,35.9,27.6,21.5,21.4,21.1,11.5
20130513105511,26.9,24.1,35.8,27.6,21.4,21.4,21.1,11.5
20130513110011,27.1,24.2,35.6,27.4,21.4,21.4,21.1,11.8
20130513110511,0.0,24.2,35.5,27.3,0.0,21.3,21.0,11.8
20130513111011,27.3,24.3,35.4,27.2,21.3,21.3,21.1,11.8
20130513111511,27.4,24.3,35.3,27.1,21.3,21.3,21.1,11.8
20130513112011,27.5,24.3,35.1,27.1,21.3,21.3,21.0,11.8
20130513112511,27.5,24.1,34.9,26.9,21.3,21.3,21.1,11.8
20130513113011,27.5,24.0,34.9,26.8,21.2,21.3,21.0,11.7
20130513113511,27.4,23.8,34.8,26.8,21.1,21.2,21.0,11.7
20130513114011,27.4,23.6,34.6,26.6,21.1,21.2,21.1,11.7
20130513114511,27.3,23.4,34.5,26.5,21.1,21.2,21.1,11.7
20130513115011,27.1,23.0,34.4,26.4,21.1,21.1,21.1,11.7
20130513115511,27.0,22.8,34.3,26.3,21.0,21.1,21.1,11.7
20130513120011,26.9,22.5,34.1,26.2,20.9,21.1,21.0,11.8
20130513120511,26.8,22.3,34.0,26.1,20.9,21.0,21.0,11.8
20130513121011,26.7,22.2,33.9,25.9,20.9,21.0,21.1,11.8
20130513121511,26.6,22.1,33.8,25.8,20.9,21.0,21.1,11.8
20130513122011,26.6,22.0,33.8,25.8,20.8,20.9,21.1,11.8
20130513122511,26.4,22.0,33.6,25.6,20.8,20.9,21.1,11.8
20130513123011,26.3,21.9,33.5,25.4,20.8,20.8,21.0,12.3
20130513123511,26.4,27.1,33.6,44.7,20.9,21.1,21.1,12.3
20130513124011,26.2,39.0,36.1,46.3,21.1,25.4,21.1,12.3
20130513124511,24.7,37.3,37.4,40.8,21.1,27.6,21.1,12.3
20130513125011,23.5,38.3,38.6,50.8,21.3,27.9,21.1,12.3
20130513125511,22.7,39.8,40.3,44.1,21.3,29.3,21.1,12.3
20130513130011,22.3,36.8,40.6,40.4,21.4,29.3,21.1,12.6
20130513130511,22.9,40.4,41.7,49.5,21.6,29.4,21.1,12.6
20130513131011,25.2,39.6,42.4,43.8,21.7,30.2,21.2,12.6
20130513131511,26.8,37.6,42.5,40.8,21.8,30.1,21.2,12.6
20130513132011,27.9,36.0,42.1,38.9,21.9,29.6,21.3,12.6
20130513132511,28.8,35.1,41.4,37.9,22.1,29.1,21.3,12.6
20130513133011,29.3,34.5,40.9,37.2,22.2,28.4,21.3,13.8
